,0,1
31,옷을 줄이다,to have your clothes altered
32,구둣방,shoe store
33,구두를 닦다,to shine shoes
34,다듬다,to trim/to prune (hair/tree/bush)
35,펴다,unfold/ straighten/ unroll/ release
36,말리다,to dry (something)
37,미용사,hair stylist/ beautician
38,드라이,hair dryer
39,두께,thickness
40,덮다,to cover
41,세탁물,the laundry
42,구하다,to look for/ seek
43,장소,place/ location
44,초보자,a beginner (inexperienced)
45,경험,an experience
46,근무 시간,working hours
47,다들,everyone
48,경력자,experienced worker
49,이력서,a resume
0,안색,one's complexion
1,몸살이 나다,suffer from fatigue/ aching all over
2,무리하다,to overdo
3,뭐니 뭐니 해도,after all
4,잃다,to lose (something)
5,과로하다,to work too hard
6,스트레스,stress
7,쌓다,to build up (stress)
8,풀리다,to relieve (stress)
9,받다,to receive (stress)
10,불면증,insomnia
11,비만,obessity
12,고혈압,high blood pressure
13,운동 부족,lack of exercise
14,혈압,blood pressure
15,체중,(body) weight
16,예문,example sentence
17,의견,an opinion/ idea
18,근육통,muscle ache
19,영원,forever. eternity
20,휴가,vacation (workers)
21,야근,overtime/ night shift/work
22,유혹,temptation/ seduction
23,뿌리치다,to repel/ shake off/ refuse
24,상쾌하다,to be refreshing
25,충고,advice
26,식욕,appetite
27,유지하다,to maintain/ preserve/ keep up
28,노력,effort
29,깨우다,wake someone up
30,체중이 줄다,to lose weight
31,스트레스가 풀리다,to relieve stress
32,근육이 생기다,to get muscle
33,열량을 소모하다,to consume calories
34,피로가 풀리다,to get rid of fatigue
35,피로를 느끼다,feel fatigued
36,열량,calories
37,빠지다,indulge
38,살이 찌다,to gain weight (not ㅊ)
39,체중이 늘다,to gain weight (not ㅅ)
40,다이어트,a diet
41,소비,consumption
42,장바구니,shopping basket
43,번거롭다,complicated
44,손이 가다,to require a lot of time/effort
45,대표적이다,to be representative
46,건강식,health food
47,김장철,the season for making kimchi
48,김장하다,to make kimchi
49,육류,meat
0,생선류,fish
1,곡류,grain
2,유기농 식품,organic foods
3,인스턴트식품,instant food
4,발효 식품,fermented food
5,탄산음료,soda
6,식습관,eating habits
7,화학조미료,monosodium glutamate
8,꿀,honey
9,씹다,to chew
10,골고루,equally
11,장수,longevity
12,비결,secret/ key
13,정하다,to decide
14,식사량,amount of food
15,중요하다,to be important
16,과식,over-eating
17,소식,news/ information
18,편식,an unbalanced diet
19,채식,vegetarian diet
20,육식,a meat diet
21,규칙적이다,be regular
22,불규칙하다,to be irregular/ unsteady
23,민간요법,a folk remedy
24,양치하다,to brush teeth
25,미지근하다,to be lukewarm
26,효과,effect
27,눕다,to lie down
28,올리다,to raise up
29,긴장,tension
30,입구,entrance
31,회복하다,to recover
32,기운,energy
33,영양,nutrition
34,수면,sleep
35,충분 ,sufficient
36,취하다,"take or prefer, pick"
37,다른 한편으로,on the other hand
38,발달,develop
39,질병,disease
40,균형,"balance, equilibrium"
0,시간을 내다,to make time
1,마음을 먹다,to be determined
2,가능하다,to be possible
3,모으다,to collect to save
4,세계,the world
5,거의,almost
6,동전,coin
7,도자기,ceramics pottery
8,독서,reading
9,수집하다,"to collect, to gather"
10,감상하다,to appreciate (music/art)
11,두다,to put/ to play (Baduk)
12,치다,to play (game or instrument)
13,낚시,fishing
14,얼마 전에,not long ago (some time ago)
15,다양하다,To be diverse
16,장르,genre
17,공포,horror
18,개봉하다,to release
19,학원,private educational institute academy
20,등록하다,to enroll/register
21,완성하다,to complete
22,인물화,portrait
23,풍경화,landscape
24,전시회,an exhibition
25,연주회,a concert or recital
26,상영,screening/showing
27,발표회,student recital/sneak preview
28,무용,dance performance
29,연주,musical performance
30,고전,classical (dance)
31,현대,modern times/ today
32,주로,mainly/ usually
33,동서양,East and West
34,정물화,Still life painting
35,입장료,Admission fee
36,들다,To join/ to be included
37,관심,interest/concern
38,동영상,video (clip)
39,괜히,no reason
40,고민하다,to worry
41,탈춤,Korean mask dance
42,영화,movie/film
43,사진,photography
44,등산,hiking/mountain climbing
45,국악,Korean Traditional Music
46,태권도,Tae-Kwon-Do
47,봉사,volunteering
48,합창,chorus/ choir
0,체중,weight (not ㅁ)
1,동호회,club (outside school)
2,따라서,therefore/ so
3,일상생활,everyday life
4,수없이 많다,innumerable
5,동식물,fauna and flora
6,키우다,to care for (pets or plants)
7,풀다,to release (stress)
8,또한,also
9,과거,the past
