,0,1
36,현명하다,to be wise
37,훌륭하다,to be excellent
38,희미하다,to be dim
0,가지런히,Neatly
1,간결하다,to be brief and to be point
2,꼬부라지다,to be bent
3,나뭇결,the grain
4,목공예품,woodcraft
5,목재,wood
6,백자,White porcelain
7,분재,Dwarfed potted plant
8,세련되다,to be polished
9,소박하다,to be simple
10,여백,blank
11,연꽃,lotus
12,연적,Water dropper for preparing ink
13,오르지,solely
14,유독,uniquely
15,유물,relics
16,은은하다,to be soft
17,인공적,artificial
18,일그러지다,to be distorted
19,자연스럽다,to be natural
20,자체,Itself
21,정교하다,to be elaborate
22,정원,garden
23,청자,Celadon porcelain
24,촌스럽다,countrified
25,최소한,the minimum
26,추구하다,to pursue
27,축소하다,to reduce
28,파격,breaking the rules
29,항아리,jar
30,화려하다,to be splendid
0,각오,determination
1,감정적이다,to be emotional
2,감탄하다,to admire
3,강인하다,to be strong and tough
4,게으르다,to be lazy
5,과연,as expected
6,기질,disposition
7,몸에 배다,to become habituated
8,무뚝뚝하다,to be blunt
9,무표정,to be expressionless
10,미운 정 고운 정이 들다,to become intimate having mixed feelings of love and hate
11,부지런하다,to be hard working
12,불쑥,Suddenly
13,사양하다,to decline in favor of another
14,신증하다,to be cautious
15,양보하다,to concede
16,어렴풋이,Dimly
17,역동적,Dynamic
18,열정적이다,to be passionate
19,옥탑방,Rooftop
20,인상적,impressive
21,잔뜩,fully
22,정들자 이별이다,to farewell right ager becoming intimate
23,진지하다,to be sincere
24,통째로,wholly
25,활기차다,to be active
0,가사 분담,share of housework
1,가사 노동,housework
2,걸림돌,obstacle
3,견디다,to endure
4,경향,tendency
5,과반수,majority
6,기관,agency
7,기혼자,married person
8,달하다,to reach
9,대상,to agree with
10,따갑다,to be tingling
11,못마땅하다,to be dissatisfied
12,무시하다,to disregard
13,미만,under
14,배우자,spouse
15,분석하다,to analyze
16,불과하다,to be no more than
17,살림하다,to manage a household
18,상,image of a role model
19,상당히,considerably
20,성별,gender
21,시선,attention
22,실시하다,to enforce
23,여론 조사,survey of public opinion
24,연봉,annual salary
25,위로,consolation
26,응답자,answerer
27,이혼하다,to divorce
28,전문,speciality
29,전문가,expert
30,전업주부,full time housewife
31,절반,half
32,종전,before
33,주제,main subject
34,차지하다,to occupy
35,파악하다,to grasp
36,해고되다,to be dismissed
0,개설하다,to establish
1,결혼이주여성,migrant women by international marriage
2,고령화,aging population
3,공고하다,to give out a public notice
4,과제,task
5,관내,jurisdiction
6,교류,exchange
7,급격히,abruptly
8,답답하다,to feel heavy in the chest
9,도모하다,to plan
10,만,"full(year, month etc.)"
11,모집,recruitment
12,문의,inquiry
13,방안,plan
14,보육비,cost of child care
15,비만,obesity
16,사업,business
17,사항,matter
18,선착순,first come first served basis
19,손쉽다,to be easy
20,수강료,tuition
21,시기,"time, period"
22,실제,reality
23,심사,judging
24,안건,item on the agenda
25,운영하다,to operate
26,인원,number of persons
27,일반,general
28,일시,the date and hour
29,장려하다,to encourage
30,재료비,cost of material
31,저소득층,low-income group
32,저출산,low birthrate
33,적응,adaptation
34,제공하다,to provide
35,제안하다,to propose
36,제외되다,to be excluded
37,조,team
38,지원하다,to support
39,참조,reference
40,첨부물,attatchment
41,체험 학습,educational activity through experience
42,총,total
43,출산율,birthrate
44,친목,friendship
45,해당자,a person who is relevant to the condition or situation
46,협조,cooperation
47,효율적,efficient
0,감동적,Touching
1,감성,Sensibility
2,관리하다,to manage
3,깨닫다,to realize
4,대표적,Representative
5,명문,Distinguished family or school
6,무조건,Unconditionally
7,반숙하다,to be half-boiled
8,방해하다,to disturb
9,비결,Secret
10,산만하다,to be distracted
11,생생하다,to be vivid
12,소음,Noise
13,심정,One’s feeling
14,암기하다,to memorize
15,엄격하다,to be strict
16,여유,time
17,완숙,hard-boiled
18,유사하다,to be similar
19,인간애,humanity
20,일깨우다,to make a person realize something
21,자아,self
22,잡념,Distracting thoughts
23,제안,proposal
24,조절,regulation
25,주입식 교육,cramming method of education
26,줄거리,outline
27,중계,to get broadcasting
28,중얼중얼,Murmuring
29,진학하다,to go on to the next stage of education
30,집중력,one’s power of concentration
31,짜증 내다,to get irritated
32,찡그리다,to make a grimace
33,차라리,Rather (than)
34,참교육,Authentic education
35,청소년,Teenager
36,활용하다,to utilize
37,효과적이다,to be effective
