,0,1
44,저금하다,to save
45,결정하다,to decide
46,군대,the army
47,느리다,to be slow
48,달리다,running
49,효과,an effect
0,목소리,voice
1,줄넘기를 하다,to jump rope
2,허리,lower back
3,주민 등록 번호,citizen registration number
4,배가 살살 아프다,to have a slight stomachache
5,누구나,anyone
6,육체 건강,physical health
7,스쿼시,squash
8,재즈 댄스,jazz dance
9,요가,yoga
10,A/S 기사,repairman
11,사직기,camera
12,소설책,novel
13,청소기,vacuum cleaner
14,구입하다,to buy
15,광고문,advertisement text
16,20인치,twenty inches
17,전자레인지,microwave oven
18,인형,doll
19,은색,silver
20,곰,bear
21,나무꾼,lumberjack
22,신령님,divine spirit
23,어휴,phew
24,허허허,huh huh huh
25,병에 걸리다,to fall ill
26,어지럽다,to be dizzy
27,농담,joke
28,치과,dental clinic
29,만지다,to touch
30,야경,night view
31,드라마,drama
32,떠들다,to talk loud
33,소리를 높이다,to turn up the volume
34,잠그다,to lock
35,바닥,the ground
0,작심삼일,giving up after three days
1,그만두고 싶었던 적이 한두 번이 아니에요,I have thought of quitting more than once
2,며칠 하다가 그만두곤 해요,I usually quit after a couple of days
3,시작이 반이라고 하잖아요,People say that starting is half the battle
4,논문,dissertation
5,세월,an instrument
6,일자리,job openings
7,돌아보다,to look back
8,복학하다,to retake a semester
9,완성하다,to complete
10,진학하다,to enter
11,오히려,rather
12,운전 면허증,driver's license
13,운전 면허증을 따다,to get a driver's license
14,음식점을 차리다,to start a restaurant
15,그동안 고마웠어요,I am grateful to you for that time
16,무슨 말씀을요,"Oh, don't mention it"
17,세월이 참 빠른 것 같아요,Time flies quickly
18,오히려 제가 감사하죠,"No, no, I'm the one who is grateful"
19,상,prize
20,티켓,ticket
21,노력하다,to endeavour
22,뛰다,to run
23,실천하다,to follow through
24,열리다,to be held
25,대회가 열리다,to be held (competition)
26,게으르다,to be lazy
27,1등,first place
28,작년 초,the beginning of the last year
29,건강 관리,health care
30,성적표,grades (transcript)
31,실력,ability
32,실력이 늘다,to improve ability
33,실망,disappointment
34,실망을 하다,to be disappointed
35,전공과목,required courses
36,주위,surroundings
37,주위 사람,close acquaintances
38,최고,the best
39,최고의 해,the best year
40,과/와 어올리다,to hang around with (to mingle)
41,친구들과 어울리다,to hang around with friends
42,소중하다,to be valuable
43,한 해,one year
44,소홀히 대하다,to treat neglectfully
