*** 유의어 - Synonyms (/course/634971/ebs-topik-ii-intermediateadvanced-vocabulary/1/)
골칫덩어리	a pain in the butt, troublesome (말썽꾸러기)
국수를 먹다	used when someone is getting married and we eat due to the event (다른 사람이 결혼해서 대접을 받다)
굴뚝 같다	be anxious (to do), strongly wish (to do) (무엇을 하고 싶은 마음이 간절하다)
귀(가) 따갑다/귀(가) 아프다	1) When sth is painful to the ear 2) When we hate to hear sth (1. 소리가 날카롭고 커서 듣기에 괴롭다 2. 너무 여러 번 들어서 듣기가 싫다)
귀에 익다	be accustomed/used to hearing sth (어떤 말이나 소리를 자주 들어 버릇이 되다)
귀가 가렵다 [간지럽다]	i feel people are talking about me so my ears are itchy (남이 제 말을 한다고 느끼다)
귀가 뚫리다	be able to hear sth [and understand] (말을 알아듣게 되다)
귀를 의심하다	cannot believe one´s ears (믿기 어려운 이야기를 들어 잘못 들은 것이 아닌가 생각하다)
귀에 거슬리다	be harsh to the ear (듣기에 언짢은 느낌이 들며 기분이 상하다)
귀에 들어가다	come to someone's knowledge,become known (누구에게 알려지다)
기가 막히다	be at a loss for words (1. 어떤 일이 너무 놀랍고 황당하다 2. 매우 대단하다)
기가 죽다	feel cheap, lose heart (기세가 꺾여 약해지다)
깨소금 맛	arrogant, feel good with others' misfortune (남의 불행을 보고 매우 통쾌하다는 뜻으로 이르는 말)
날개 돋치다	sell like crazy (상품이 시세를 만나 빠른 속도로 팔려 나가다)
날개를 펴다	spread/open wings (씩씩하게 뜻을 드러내다)
날을 잡다	fix/decide date (날짜를 정하다)
낯이 뜨겁다	be embarrassed (1. 매우 부끄럽다 2. 보기에 민망하다) 
눈(꼴)이 시다	Hate to see, it bothers me (하는 짓이 거슬려 보기에 아니꼽다)
눈(알)이 빠지도록 기다리다	Anxiously waiting (매우 애타게 오랫동안 기다리다)
눈(에) 띄다	stand out, catch one's eye (두드러지게 드러나다)
눈(을) 돌리다	change interest, avert [turn away] one´s eyes (관심을 돌리다)
눈(을) 맞추다	to make eye contact (서로 눈을 마주 보다)
눈(을) 밝히다	to focus (무엇을 찾으려고 신경을 집중하거나 힘을 넣다)
눈(을) 붙이다	go to sleep (잠을 자다)
눈(을) 속이다	deceive someone, pull the wool over a person´s eyes (잠시 수단을 써서 보는 사람이 속아 넘어가게 하다)
눈을 피하다	avoid eye contact (남이 보는 것을 피하다)
눈(이) 꺼지다	one´s eyes become hollow, exhausted (눈이 우목하게 들어가다)
눈(이) 높다	have a well cultivated taste (정도 이상의 좋은 것만 찾는 버릇이 있다)
눈(이) 많다	to see many people (보는 사람이 많다)
눈(이) 삐다	used when u cannot see the obvious (뻔한 것을 잘못 보고 있을 때 비난조로 이르는 말)
눈에 거슬리다	be unpleasant to the eye (보기에 마뜩하지 않아 불쾌한 느낌이 있다)
눈에 밟히다	haunt one´s memory (자꾸 생각나다)
눈에 불을 켜다	1) do an action like crazy 2) get so angry that eyes are sparkling (1. 어떤 일을 집중해서 열심히 하다 2. 화가 나서 눈을 크게 뜨다))
눈에 익다	be accustomed to see [hear] (본 적이 있는 느낌이 들다)
눈에서 벗어나다	escape, get free (감시나 구속에서 자유롭게 되다)
눈을 끌다	be attractive (호기심을 일으켜 보게 하다)
눈을 의심하다	doubt one's eyes (잘못 보지 않았나 하여 믿지 않고 이상하게 생각하다)
눈이 뚫어지게	to stare (꼼짝 않고 한 곳을 응시하는 모양을 이르는 말)
눈이 캄캄하다	(be) gloomy, hopeless (정신이 아찔하고 생각이 콱 막히다)
눈이 트이다	awake from illusion, come to determine sth (사물이나 현상을 판단할 줄 알게 되다)
닳고 닳다	become oversophisticated (세상일에 시달려 약아빠지다)
담을 쌓다	build up a wall (관계없게 지내거나 관심을 완전히 끊다)
뜸을 들이다	waver, set stand (말이나 행동을 바로 하지 않고 머뭇거리다)
마음에 들다	be to one´s liking (자신의 느낌이나 생각과 같아서 좋다)
마음을 놓다	ease heart (걱정하지 않다)
마음을 비우다	empty mind, forsake greed (욕심을 버리다)
맛을 들이다	acquire a taste, be hooked on (어떤 것에 재미를 느끼다)
머리(를) 하다	fix one's hair (머리를 손질하다)
머리가 굳다	dull memories (기억력이 무디다)
