,0,1
97,좌회전,left turn
98,우회전,right turn
99,초록색,green
100,매일,every day (not ᄂ..)
101,아이스크림,ice cream
102,부르다,to be full
103,고르다,to select
104,빠르다,to be fast
105,너무,too
106,많이,"much, many"
107,번호,"assigned number (phone number, postal code, etc.)"
108,모시다,to accompany/to escort
109,다 왔습니다,here we are
110,동,building number within an apartment complex
111,왜,why
112,비,rain
113,약속,plans/appointment/promise
114,세탁소,dry cleaner
115,놀이터,playground
116,돈가스,pork cutlet
117,주유소,gas station
118,PC방,internet cafe
119,레코드,record
0,선물,gift
1,장미 (꽃),rose
2,꽃,flower(s)
3,케이크,cake
4,꽃가게,flower shop
5,빵,bread
6,빵집,bakery(1)
7,옷가게,clothing store
8,빵가게,bakery(2)
9,과일가게,fruit store
10,서점,bookstore
11,문방구,stationary store
12,편의점,convenience store
13,시장,market
14,백화점,department store
15,슈퍼마켓,supermarket
16,바지,pants
17,과일,fruit
18,그렇지만,"but, however"
19,하숙집,boarding house
20,아줌마,madam
21,장소,place (not ᄀ...)
22,이유,reason
23,주인,"shopkeeper, owner"
24,치즈,cheese
25,색,color
26,빨간색,red
27,파란색,blue
28,노란색,yellow
29,하얀색,white
30,까만색,black
31,검은색,black
32,길다,to be long
33,짧다,to be short
34,튼튼하다,"to be healthy, to be strong"
35,약하다,to be weak
36,두껍다,to be thick
37,얇다,to be thin
38,무겁다,to be heavy
39,가볍다,to be light
40,비싸다,to be expensive
41,싸다,to be cheap
42,가깝다,"to be near, close"
43,멀다,"to be distant, far away"
44,코트,coat
45,자동차,car
46,어떻다,how (it) is
47,빨갛다,to be red
48,파랗다,to be blue
49,노랗다,to be yellow
50,까맣다,to be black
51,하얗다,to be white
52,보여 주다,to show
53,다르다,to be different
54,죄송하다,to be sorry
55,다시,again
56,또,again
57,구경하다,"to watch, to look around, to go sightseeing"
58,얼마,how much
59,송이,counting unit for flowers
60,대,"counting unit for cars, appliances, electronics, etc."
61,켤레,pair
62,개,counting unit for things
63,마리,counting unit for animals
64,자루,counting unit for pens
65,벌,counting unit for clothing
66,권,counting unit for books
67,장,counting unit for paper
68,병,counting unit for bottles
69,통,"counting unit for boxes, gum, letters"
70,신발,shoes
71,식빵,bread
72,티셔츠,T-shirt
73,표,ticket
74,콜라,cola
75,껌,gum
76,셔츠,shirt
77,전화기,telephone
78,고양이,cat
79,슬리퍼,slippers
80,빌리다,to lend
81,닫다,to close
82,만들다,to make
83,전화하다,to call
84,바쁘다,to be busy
85,돕다,to help
86,스웨터,sweater
87,치마,skirt
88,바나나,banana
89,귤,tangerine
90,포도,grape
91,튤립,tulip
92,입어 보다,to try on clothes
93,선물하다,to give a present
94,깎다,"to discount, to reduce"
95,꽃다발,bouquet
96,손수건,handkerchief
97,상품권,gift certificate
98,인형,doll
99,화장품,cosmetics
100,향수,perfume
101,액세서리,accessories
102,만년필,fountain pen
103,프랑스,France
104,돌아가다,"to go back, to return"
105,넥타이,tie
106,노래,song
107,결혼식,wedding ceremony
108,프로그램,program
109,주말,weekend
110,여러 가지,"various, many"
111,먼저,first (early)
112,한복,traditional Korean clothes
113,넥타이핀,tie pin
114,피곤하다,to be tired
115,목걸이,necklace
116,선글라스,sunglasses
117,노트북,laptop computer
118,잃어버리다,to lose
119,어깨,shoulder
120,메다,to carry on one's shoulder
121,연락하다,to contact
0,혼자,"alone, by oneself"
1,같이,together
2,그럽시다,let's do that
3,가다,to go
4,오다,to come
5,나가다,"to exit, to go out"
6,들어오다,"to enter, to come in"
7,올라가다,to go up
8,내려오다,to come down
9,한식집,Korean restaurant
10,일식집,Japanese restaurant
11,중국집,Chinese restaurant
12,양식집,Western restaurant
13,내일,tomorrow
14,비빔밥,bibimbab
15,불고기,bulgogi
16,정문,main entrance
17,그래요?,oh really? is that so?
18,음식,food
19,오늘,today
20,값,price
21,싸다,to be cheap
22,학생식당,student restaurant
23,가깝다,"to be near, close"
24,무슨,"what kind of, what"
25,아주,very
26,맛,"taste, flavor"
27,맛있다,to be delicious
28,맵다,"to be hot, spicy"
29,잘,well
30,외국인,foreigner
31,한식,Korean food
32,일식,Japanese food
33,양식,Western food
34,중국 음식,Chinese food
35,자장면,jajangmyeon
36,초밥,sushi
37,스테이크,steak
38,맛없다,to taste bad
39,달다,to be sweet
40,시다,to be sour
41,짜다,to be salty
42,싱겁다,to be bland
43,쓰다,to be bitter
44,크리스마스,Christmas
45,차,tea
46,살다,to live in
47,알다,to know
48,열다,to open
49,놀다,"to play, hang out"
50,만들다,to make
51,멀다,"to be distant, far away"
52,좀,a little
53,간장,soy sauce
54,고추,hot pepper
55,식혜,sweet rice drink
56,카레,curry
57,냉면,naengmyeon (cold noodles)
58,갈비탕,beef rib soup
59,김치찌개,kimchi stew
60,된장찌개,bean-paste stew
61,칼국수,kalguksu (seafood handmade noodles)
62,갈비,beef ribs
63,삼겹살,roasted pork
64,국수,noodles
65,떡볶이,ddeokbokki
66,김밥,kimbab
67,라면,ramen
68,닭갈비,"spicy, stir-fried chicken"
69,삼계탕,chicken soup with ginseng
70,순두부찌개,soft tofu stew
71,아침,"morning, breakfast"
72,점심,"lunch time, lunch"
73,저녁,"evening, dinner"
74,설악산,Mt. Seorak
75,인분,"serving, portion (of food)"
76,중에서,among
77,상추,lettuce
78,보통,"usual, normal, usually, normally"
79,외국,foreign
80,종업원,employee
81,뭘,what (contraction of 무엇을)
82,물,water
83,요일,day of the week
84,주다,to give
85,드리다,to give (honorific)
86,일,one
87,이,two
88,삼,three
89,사,four
90,오,five
91,육,six
92,칠,seven
93,팔,eight
94,구,nine
95,십,ten
96,개,counting unit for things
97,잔,counting unit for cups
98,커피,coffee
99,병,counting unit for bottles
100,소주,soju
101,그릇,bowl
102,사과,apple
103,사탕,candy
104,초콜릿,chocolate
105,배,ship
106,고프다,to be hungry
107,다리,leg
108,아프다,"to be painful, to hurt"
109,단어,word
110,참다,"to endure, to suppress"
111,모르다,to not know
112,케이크,cake
113,생일,birthday
114,오렌지,orange
115,일어,the Japanese language
116,짬뽕,Chinese hot noodles
117,볶음밥,fried rice
118,탕수육,sweet and sour pork
119,스파게티,spaghetti
120,라자냐,lasagna
121,콤비네이션,combination
122,손님,customer
123,피자,pizza
124,알겠습니다,"okay, I understand"
125,물냉면,mul-naengmyeon (cold noodle soup)
126,술집,bar
127,마시다,to drink
128,시키다,to order
0,지금,now
1,시,"hour, o'clock"
2,분,minute
3,십,ten
4,이십,twenty
5,삼십,thirty
6,사십,forty
7,오십,fifty
8,육십,sixty
9,칠십,seventy
10,팔십,eighty
11,구십,ninety
12,백,hundred
13,천,thousand
14,만,ten thousand
15,원,won
16,시계,"watch, clock"
17,수,number
18,시간,"time, hour"
19,반,half
20,오전,a.m.
21,오후,p.m.
22,아르바이트,part-time job
23,쯤,about
24,회의,meeting
25,잠깐,"for a minute, just a moment"
26,어서 오세요,"welcome, please come in"
27,이야기하다,to talk
28,고맙다,to be thankful
29,월,month
30,일,day
31,며칠,"what day, a few days"
32,내일,tomorrow
33,뭐,what (contraction of '무엇')
34,글쎄요,"hmmm, well"
35,쉬다,to rest
36,날짜,date
37,요일,day of the week
38,월요일,Monday
39,화요일,Tuesday
40,수요일,Wednesday
41,목요일,Thursday
42,금요일,Friday
43,토요일,Saturday
44,일요일,Sunday
45,하숙집,boarding house
46,이번,this time
47,여행,trip
48,방학,school vacation/holiday
49,언제,when
50,날,day
51,시험,exam
52,졸업식,graduation ceremony
53,파티,party
54,때,time
55,일어나다,to get up
56,수업,class
57,세수하다,to wash one's face
58,이를 닦다,to brush one's teeth
59,타다,to get on/to ride
60,내리다,to get off
61,술,alcohol
62,잠,sleep
63,식사,meal
64,조금,a little
65,어제,yesterday (contraction)
66,아름답다,to be beautiful
67,그저께,the day before yesterday (long)
68,그제,the day before yesterday (contraction)
69,어저께,yesterday (long)
70,오늘,today
71,모레,the day after tomorrow
72,지난 주 ,last week
73,이번 주,this week
74,다음 주,next week
75,지난 달 ,last month
76,이번 달,this month
77,다음 달,next month
78,지난,"last, previous"
79,다음,next
80,주,week
81,달,month
82,작년,last year
83,올해,this year
84,내년,next year
85,운동장,sports field
86,구두,(dress) shoes
87,쉽다,to be easy
88,어렵다,to be difficult
89,돕다,to help
90,놀다,"to play, hang out"
91,기다리다,to wait
92,쇼핑,shopping
93,기분,feeling
94,한국어,the Korean Language
95,청소,cleaning
0,안녕하십니까?,"Hello, how do you do?"
1,네,"yes; I see, okay"
2,저,I (humble)
3,이름,name
4,성,family name
5,씨,Mr./Mrs.
6,선생님,teacher
7,인도,India
8,중국,China
9,사람,"person, people"
10,제,my (humble)
11,그리고,and
12,친구,friend
13,반갑습니다,I'm glad to meet you.
14,어느,which
15,나라,country
16,미국,the United States
17,아니요,no
18,일본,Japan
19,그렇습니까?,is that (so)?
20,한국,Korea
21,호주,Australia
22,러시아,Russia
23,독일,Germany
24,몽골,Mongolia
25,태국,Thailand
26,영국,the U.K.
