,0,1
36,어린이날,Children's day (5월5일)
37,차별,discrimination
38,법정 공휴일,national holiday
39,어버이날,Parent's day (5월8일)
40,카네이션,carnation (flower)
41,입양의 날,Adoption day (5월11일)
42,입양문화,culture of adoption
43,활성화,vitalization
44,부부의 날,Couple's day (5월21일)
45,깨닫다,to realize
46,둘이 하나가 된다는 뜻에서 21일로 정해졌다,They picked the 21st to represent 2 becoming 1
47,현대,modern times
48,정시에 퇴근하다,to leave work right on time
49,권장하다,to encourage
50,몸이 건전하다,to have a sound (healthy) body
51,주중 하루라도,even most days of the week
52,전업 남편,house-husband
53,전업 주부,house-wife
54,조금 쌀쌀해요.,I feel a little cold. (chilly)
55,분위기,"mood, atmosphere"
56,주변,surroundings
57,아이를 낳다,to give birth to a baby
58,독신자,a bachelor/spinster (they will never get married)
59,자유,freedom
60,친척,"relative, relation (extended family)"
61,분담했으면 좋겠어요.,I hope we can share (the task/work).
62,여러가지,various(가지)
63,진짜 웃겨요.,(It's) really funny.
64,전혀 안웃겨요.,That's not funny at all.
65,전혀,"completely, absolutely, not at all"
66,마찬가지다,to be the same (마찬)
67,책임,responsibility/duty
68,결정하다,to determine/decide (결)
69,전담하다,to take charge of
70,선호하다,to prefer
71,늘어나다,"to  grow, increase, rise, mount (up)"
72,작고 실용적인 집,small but practical house
73,젊은 사람들,young people
74,전 독립해서 혼자 살고 있어요.,I'm independent and live alone.
75,효자네요.,He's really a devoted son.
76,대부분이고요.,It's the most part. (of people who think one way)
77,소중함을 깨달았어요.,I realized it's importance.
78,정하다,to decide (no 결)
79,정해지다,"to be set, fixed, arranged"
80,시간이 부족한 거예요.,"I'm short of time. (I don't have enough time, lacking)"
81,부족하다,"to lack, to be short of something"
82,현대인,a modern person/man
83,책임지다,to become responsible for (책)
84,일을 결정하고 가사를 분담하다,to determine the task and share the housework
85,역할이 커지다,for one's role to be extended/become larger
86,분위기가 없어지다,for the mood/atmosphere to be gone (of a certain way of thinking/feeling)
87,분가 시키다,to marry off and move out a child (son/daughter)
0,호랑이도 제 말하면 온다,to speak of the devil (when you talk about the tiger he will come)
1,식은 죽 먹기,a piece of cake (eating cold porridge)
2,누워서 떡 먹기,easy as pie (eating rice cake while lying down)
3,하늘의 별 따기,to be almost impossible (choosing a star from the sky)
4,세 살 버릇 여든까지 간다,old habits die hard (habits learned at age 3 will continue until age 80)
5,싼게 비지떡,to get what you pay for (cheap rice cake is low quality)
6,떡 줄 사람은 생각도 않는데 김칫국부터 마신다,to not count their chickens before they hatch (They have no intention of giving you rice cake but you already drank the kimchi soup which is what people drink at the start of a meal)
7,배보다 배꼽이 더 크다,more trouble than it's worth (your belly button is bigger than your belly)
8,입에 쓴 약이 몸에 좋다,"no pain, no gain (the medicine that tastes bitter is good for your health)"
0,두손으로 드리다,to give something with both hands (shows respect)
1,두손으로 받다,to receive something with both hands (shows respect)
2,고개를 돌리고 술을 마시다,to turn one's head away and drink alcohol (shows respect; turn your head away from the most senior person)
3,허리를 굽혀 인사하다,to greet with a deep bow (at least 45 degrees)
4,높임말을 사용하다,to use honorifics (in speech)
5,무릎을 끓고 앉다,to sit on one's knees (legs folded under)
6,책상다리를 하고 앉다,to sit cross-legged
7,어른이 숟가락을 드신 후에 밥을 먹다,to start eating after the elder person has picked up their spoon (shows respect)
8,식탁에 밥그릇을 놓고 먹다,to put the rice bowl on the table and eat (not holding it in your hands)
9,버스나 지하철에서 자리를 양보하다,to give up one's seat on the bus or subway
10,어른 앞에서 담배를 피우지 않다,to not smoke in front of one's elders
11,낯설다,to be unfamiliar
12,어려움을 겪다,to experience hardship (겪다)
13,실수를 하다,to make a mistake
14,적응이 안 되다,to not be accustomed to
15,실례가 되다,to be rude
16,오해하다,to misunderstand
17,착각하다,"to be mixed up, delude oneself, mistake (A for B)"
18,익숙하다,"to be familiar, used to"
19,적응하다,to adjust to
20,습관이 되다,to become habitual
21,어른 앞에서 다리를 꼬고 앉다,to sit beside elders with one's legs crossed (This is rude.)
22,다른 사람에게 손가락질을 하다,to point your finger at others (This is rude.)
23,윗사람에게 물건을 한 손으로 드리다,to give something to one's senior with only one hand (This is rude.)
24,적응기,period of adjustment/adaptation
25,인사말,greeting (words)
26,섭섭하다,to be disappointed/sorry
27,다정하다,to be kind/friendly (정)
28,조의금,condolence money (for funerals)
29,빈소,funeral parlor
30,위로,consolation/comfort
31,부의,funeral gifts (money)
32,문화 적응,acculturation (adapting to a culture)
33,시차 적응이 잘 안 되다,I'm having trouble getting over the jet lag. (시차)
34,문화 차이 말하다,to speak about cultural differences
35,우리의 행동 중 무엇이 널 화나게 했어나요?,What did I do to make you angry? (행동)
36,요즘 영어는 생활속에서 필수이다.,"These days, English is neccessary in life. (생활속에서)"
37,제가 착각했어요.,I got mixed up. (제가)
38,허리를 굽혀 인사하는 것에 익숙해졌어요.,I've gotten used to greeting others by bowing.
39,굽히다,"to bend, stoop down"
40,예쁠수록,"the prettier it is, the more"
41,이상할수록,"the stranger it is, the more"
42,편안하다,"to be peaceful, calm, restful"
43,화면,"screen, monitor"
44,첫인상,first impression
45,갈수록,"more and more so in time, as time goes by, day by day"
