,word,frequency
381,개성,1418
382,화장,2782
383,증가하다,1132
384,고집하다,3089
385,그만큼,1214
386,도리어,3784
387,발음하다,5371
388,언젠가,1349
389,냉동,3189
390,지급,4131
391,사십,5353
392,과,2482
393,알코올,4540
394,제공,3251
395,구별,3411
396,이혼,4603
397,살아남다,2296
398,무더위,4838
399,스스로,1050
400,방송하다,4474
401,생물,2435
402,강력히,3544
403,내쉬다,3558
404,갑자기,353
405,귀찮다,2893
406,쿠데타,4059
407,잘나다,3175
408,지시하다,2308
409,씨,2678
410,겨울,715
411,풀리다,1376
412,모자라다,2270
413,멎다,3947
414,넘어오다,3511
415,출발,2309
416,여자,54
417,로봇,4165
418,기차,2335
419,주장하다,377
420,아름답다,246
421,과거,4900
422,이유,175
423,벨트,4844
424,오가다,2681
425,모기,4417
426,순간적,4032
427,비만,4920
428,중대하다,3449
429,계산하다,2333
430,며칠,793
431,돼지고기,3364
432,오십,5393
433,여름철,2951
434,녹화,5168
435,사상,3800
436,명,47
437,꾸다,5065
438,대접,3861
439,찾아내다,1852
440,악몽,3240
441,작은어머니,5417
442,버스,553
443,할아버지,521
444,거,2480
445,손바닥,2222
446,굉장히,1729
447,깨끗하다,1160
448,단순,3941
449,사고,1532
450,여학생,2618
451,몰다,1734
452,하얗다,1210
453,이불,2180
454,들,2243
455,유형,3635
456,글쎄,1555
457,안녕히,3380
458,생활비,5256
459,외국어,3700
460,집단적,3532
461,송이,4264
462,외침,4282
463,과학,258
464,칼,1805
465,주관적,4670
466,효자,5054
467,저편,3983
468,책가방,4676
469,시,2129
470,주위,574
471,주장,561
472,외다,4281
473,저절로,2651
474,중요시하다,3991
475,물결,2576
476,강제,1807
477,출퇴근,4954
478,급,1004
479,검사,2423
480,일부,296
481,손목,3740
482,유리,2587
483,장군,937
484,면적,2976
485,야옹,5108
486,커지다,1195
487,찌르다,2139
488,근로,2858
489,꼭,2395
490,없다,5
491,지름길,4500
492,그래도,530
493,하나님,4887
494,부처,1973
495,쫓겨나다,3908
