,0,1
22,들이닥치다,to drop in without warning (몰려오다/밀려들다/복대기다: 갑자기 바싹 다다르다)
23,들이마시다,to inhale (흡입하다/빨아들이다/들이쉬다)
24,들키다,to be exposed/discovered (박각되다/걸리다/드러나다/들통 나다)
25,등장하다,to appear (나타나다/나오다)
26,등재하다,to register/record (기록하다/등록하다)
27,따돌리다,to exclude (배제하다/배척하다)
28,따지다,to weigh the pros/cons of sth/nitpick (캐묻다)
29,떨치다,to shake sth off (mentally/physically) (뿌리치다: 세게 흔들어서 떨어지게 하다 2. 불길한 생각이나 명예 욕심 따위를 완강하게 버리다)
0,떼다,peel off/issue (뜯다/벗기다/덜다)
1,뚫다,pierce/break through (관통하다)
2,뛰어넘다,jump over/surpass (건너뛰다)
3,뜸해지다,become remote (격조해지다)
4,띄다,stand out (튀다)
5,마다하다,verbally refuse/reject/decline/turn down (거절하다)
6,마비되다,be paralyzed
7,만끽하다,enjoy (즐기다/누리다)
8,말미암다,owing to (관계되다/기인하다)
9,맞먹다,contend against (대등하다)
10,맞서다,oppose (대들다/맞붙다)
11,매기다,rank (매다)
12,매달리다,suspend/cling (달리다/붙들다)
13,매도하다,sell over (팔다/매출하다)
14,매료되다,be fascinated with (매혹되다/사로잡다)
15,맺히다,to form
16,머물다,stay (거주하다/기거하다)
17,머뭇거리다,hesitate (망설이다)
18,면제하다,exempt (해제하다/해면하다/면책하다)
19,면하다,avoid/escape from (피하다)
20,멸망하다,go to ruin (몰락하다/쇠하다/멸하다/망하다)
21,명심하다,keep (sth) in mind/bear (sth) in mind/be sure to remember (유념하다/새기다)
22,모방하다,imitate/copy/model/(formal) emulate (답습하다/본뜨다)
23,모색하다,seek (찾다/타협을/살길을/해결책을)
24,몰두하다,be absorbed (몰입하다)
25,몰리다,be cornered/be driven[pushed] (into a corner) (한쪽으로 밀리다)
26,몰아붙이다,to corner/attack incessantly
27,몰입하다,be immersed in (집중하다/몰두하다/열중하다)
28,묘사되다,be described
29,무르다,to return
0,어색하다,awkward (부자연스럽다/서먹하다/서투르다)
1,어설프다,lame/fumbling (서투르다/머뭇거리다)
2,엄숙하다,solemn (장엄하다/침통하다/근엄하다/장중하다)
3,여리다,tender (다정하다/상냥하다/부드럽다/연하다)
4,영험하다,mystical/miracle-working
5,예리하다,sharp/keen (날카롭다/뾰족하다)
6,예민하다,sensitive/keen/sharp (민감하다/영민하다)
7,오목하다,dented (우묵하다/옴푹하다)
8,오붓하다,cozy (아늑하다/포근하다)
9,온순하다,mild (순하다/온화하다)
10,온화하다,mild (mannered)/temperate (온난하다/따뜻하다/포근하다/순하다)
11,완만하다,slow/gentle (느리다/느릿느릿하다)
12,완연하다,obvious (분명하다/명백하다/명확하다/뻔하다)
13,우렁차다,rich and full (sound) (듣기 좋다/낭랑하다)
14,우수하다,excellent (뛰어나다/훌륭하다/탁월하다)
15,우아하다,elegant (고상하다/단아하다)
16,우직하다,honest to a fault
17,울긋불긋하다,colorful (다채롭다/화려하다)
18,웅장하다,magnificent (성대하다/웅대하다)
19,원만하다,amicable (단란하다/우호적이다/화목하다)
20,원활하다,smooth (순조롭다/순탄하다)
21,웬만하다,tolerable (괜찮다/쑬쑬하다)
22,위독하다,critical (위중하다/심각하다/위급하다)
23,위중하다,critical (위독하다/심각하다/위급하다)
24,유난스럽다,unusual (남다르다/별나다/유별나다)
25,유능하다,competent (능숙하다)
26,유리하다,advantageous (이롭다/유익하다)
27,유사하다,similar (비슷하다/엇비슷하다/근사하다/흡사하다)
28,유연하다,flexible (유통성 있다/신축성 있다/탄력적이다)
29,유용하다,useful (도움이 되다/쓸모 있다/쓸데있다/유익하다)
0,유창하다,fluent (능숙하다/유려하다)
1,유해하다,harmful (해롭다)
2,유효하다,valid
3,이롭다,beneficial/advantageous (유익하다)
4,익살스럽다,comical (우습다/희극적이다)
5,인색하다,stingy/cheap (야박하다/쩨쩨하다/쫀쫀하다)
6,자유분방하다,freewheeling
7,자잘하다,very small (조막만하다/자디잘다/지소하다)
8,잔인하다,cruel (잔혹하다/악랄하다/무정하다/무자비하다/잔악하다)
9,잔잔하다,still (조용하다/잠잠하다/고요하다)
10,장엄하다,majestic (웅장하다/씩씩하다/엄숙하다)
11,잦다,frequent (빈번하다/흔하다)
12,저조하다,low/dull/poor/sluggish (낮다/나직하다/저질의)
13,적막하다,silent/lonely (잔잔하다/잠잠하다/고요하다/쓸쓸하다)
14,적잖다,more than a few (상당하다)
15,적절하다,proper (ᄌ ᄌᄒᄃ)
16,적합하다,suitable (걸맞다/알맞다/적절하다/마땅하다)
17,절친하다,intimate (친밀하다/긴밀하다/밀접하다)
18,점잖다,gentle (순하다/온순하다)
19,정겹다,affectionate (살갑다/다정하다/자애 깊다/애정 넘치다)
20,정교하다,exquisite (세밀하다/정밀하다)
21,정당하다,right (공정하다/바르다)
22,정성스럽다,sincere (진정하다/진실되다/성실하다/신실하다)
23,정정당당하다,fair (당당하다/떳떳하다)
24,정직하다,honesty (바르다/곧다/진솔하다/솔직하다)
25,조급하다,impatient (성급하다)
26,조밀하다,dense (빽빽하다/울창하다/밀집하다/촘촘하다)
27,조촐하다,simple (ᄌᄎᄒᄃ/단정하다/단수하다/깨끗하다)
28,주도면밀하다,scrupulous/careful (빈틈없다/용의주도하다)
29,즐비하다,stand in a row
0,위주,mainly (주로/위해)
1,위탁,consignment (개발/제조/제작/부탁/위임)
2,유세,campaign (켐페인/선전)
3,유형,type (종류/타입)
4,유혹,temptation (영혹/유인)
5,은퇴,retirement (퇴직/퇴임/은거)
6,응모,application for subscription
7,의도,intention (의지/계획)
8,의문,doubt (의아)
9,이론,theory (설)
10,이면,the hidden side (뒷면)
11,이치,reason (논리/천리)
12,인근,vicinity (근방/근처/이웃)
13,인상,rise/increase (상승)
14,인재,talented person
15,인적,sign of life
16,인접,adjacent (옆/곁/근접)
17,인파,crowd (군중)
18,일각,corner/tip
19,일거수일투족,one's every move
20,일리,some reason/truth
21,일선,the front lines
22,일쑤,흔히 또는 으레 그러는 일
23,일품,excellent (절품)
24,일환,part (부분/일부)
25,임무,assignment/task (업무/사무)
26,입지,location (장소/위치)
27,자각,self-awareness (반성)
28,자격,qualification
29,자랑,boast (호언)
0,자선,charity (자혜/애휼)
1,자질,qualification (자격/조건)
2,자태,figure (모습/자세)
3,잡념,distracting thoughts
4,잡음,noise (소음/원소)
5,저항,resistance (거부/반항)
6,적응,adaptation (순응)
7,적정,reasonableness (알맞은 정도)
8,전략,strategy (전술/무략/병략)
9,전망,view/forecast (조망/관망/경관)
10,절약,savings (긴축/절감)
11,절차,procedure (순서/차례)
12,정복,conquest (정벌/극복)
13,정비,maintenance/organize (수정/영선/지탱)
14,정식,formal (본식/의식)
15,정의,definition (뜻)
16,정의,justice (공평성/정당/도리)
17,정책,policy (시책/방책/방침)
18,정화,purification (정제)
19,정황,situation (상황/정상/정경)
20,제격,perfect for (적격/안성맞춤)
21,제도,system (시스템/법제)
22,제약,restriction (통제/구속/제한)
23,제자리걸음,remain stationary
24,조망,view (전망/조람)
25,조화,harmony (어울림)
26,존폐,(whether to) continue or eliminate
27,주목,attention (주시/각광)
28,주범,main culprit
29,주체,main agent (핵심/중심)
0,가닥,strand (올/줄)
1,가상,imagination (상상/공상)
2,각오,determination (결심/결정/투지/다짐)
3,거리낌,hesitation (주저/거침)
4,걸림돌,obstacle (방해/장애/장해)
5,격려,encouragement (독려/편달/면려)
6,견본,a sample (샘플/시료/시식)
7,결손,deficit (적자/손해/흠결)
